Year,District,Listed,Rented,Bachelor,Bachelor Avg Monthly,1-Bed,1-Bed Avg Monthly,2-Bed,2-Bed Avg Monthly,3-Bed,3-Bed Avg Monthly
2006,C01,3938,2153,111,1172.00,1421,1491.00,605,2201.00,16,4029.67
2007,C01,4137,2396,120,1191.33,1546,1527.67,711,2246.67,19,4512.00
2008,C01,4819,2856,176,1217.00,1854,1584.00,813,2305.67,13,3486.67
2009,C01,6293,3622,222,1213.33,2239,1542.33,1138,2210.33,23,3416.67
2010,C01,8068,4738,237,1226.67,2979,1567.00,1485,2255.67,37,3757.33
2011,C01,10360,6644,363,1310.67,4170,1695.33,2026,2546.33,85,3789.33
2012,C01,8370,4964,224,1379.50,3060,1762.75,1618,2607.50,62,3780.75
2013,C01,12880,6812,316,1375.00,4302,1759.75,2117,2609.00,77,4054.75
2014,C01,15020,8268,367,1383.00,5332,1760.75,2463,2580.50,106,3962.75
2015,C01,18086,10199,561,1376.25,6482,1756.75,2961,2622.25,195,3464.00
2016,C01,16124,10622,657,1477.25,6690,1867.75,3076,2850.50,199,3968.25
2017,C01,14318,9513,573,1636.75,5879,2071.75,2861,3017.50,200,4291.25
2018,C01,13725,8894,561,1818.50,5629,2283.25,2536,3276.00,168,4417.75
